小娘惹	The Little Nyonya	2008-11-25	-	新加坡	历史 / 言情	-	欧萱 / 黄慧 / 戚玉武 / 方展发 / 戴阳天	39,654,761	http://www.youku.com/show_page/id_z4d4cc322d71911de97c0.html	32集全
阎罗传奇	-	优酷开播:2014-03-10	-	新加坡	剧情 / 神话 / 古装	-	谢韶光 / 陈泰铭 / 陈汉玮 / 向云 / 郑文	19,984,783	http://www.youku.com/show_page/id_zcc17456e962411de83b1.html	25集全
青蛇与白蛇	Legend Of The Snake Spirits/白蛇新传	2010-10-17	优酷开播:2010-11-10	台湾 / 新加坡	神话 / 古装	-	范文芳 / 张玉嬿 / 焦恩俊 / 李铭顺 / 宋达民	15,260,565	http://www.youku.com/show_page/id_zcbfd1d9c962411de83b1.html	48集全
神探卫斯理	The New Adventures of Wisely/卫斯理传奇	1998-09-15	-	香港 / 新加坡	科幻	-	陶大宇 / 郑惠玉 / 周初明 / 李南星 / 刘谦益	15,250,445	http://www.youku.com/show_page/id_z15721378b99911de97c0.html	30集全
神雕侠侣	神雕侠侣 98版	1998-06-02	-	新加坡	剧情 / 武侠 / 言情 / 古装	-	李铭顺 / 范文芳 / 朱厚任 / 何咏芳 / 陈秀丽	14,863,600	http://www.youku.com/show_page/id_zcbfd2e4a962411de83b1.html	40集全
天师钟馗	Heavenly Ghostcatcher/霸王妖姬	优酷开播:2011-10-31	-	台湾 / 新加坡	神话 / 悬疑 / 古装	-	金超群 / 范鸿轩 / 陈天文 / 陈泰铭 / 恬妞	13,697,413	http://www.youku.com/show_page/id_zcc16fd52962411de83b1.html	30集全
笑傲江湖	The Legendary Swordsman/笑傲江湖 2000版	2000-05-18	-	新加坡	武侠 / 古装	-	范文芳 / 马景涛 / 李锦梅 / 周初明 / 郑秀珍	12,824,976	http://www.youku.com/show_page/id_zcbfd55fa962411de83b1.html	40集全
双天至尊 第二部	双天至尊2	-	-	新加坡	言情	-	李南星 / 郑惠玉 / 于荣光 / 周初明 / 薛素珊	9,388,859	http://www.youku.com/show_page/id_zcc16feec962411de83b1.html	30集全
再战封神榜	大话封神榜之再战封神榜	优酷开播:2011-10-24	-	新加坡	神话 / 古装	-	周初明 / 陈秀环 / 钟树荣 / 梁宝柱 / 陈美光	7,501,509	http://www.youku.com/show_page/id_zfd3420900aad11e1a046.html	25集全
双天至尊 第一部	The Unbeatables	-	-	新加坡	剧情 / 都市	-	李南星 / 郑惠玉 / 朱厚任 / 陈澍承 / 洪慧芳	7,406,517	http://www.youku.com/show_page/id_zcc17ad24962411de83b1.html	20集全
双天至尊 第三部	双天至尊Ⅲ	2003-05-28	-	新加坡	言情 / 时装	-	郑惠玉 / 李南星 / 李珊珊	5,632,199	http://www.youku.com/show_page/id_zcbfd2f62962411de83b1.html	30集全
行医	The Oath	2011-10-25	优酷开播:2011-10-26	新加坡	时装	-	李铭顺 / 刘子绚 / 郭淑贤 / 沈倾掞 / 张振寰	5,151,571	http://www.youku.com/show_page/id_z038d8f8ad8f911e0a046.html	20集全
天使情人	Angle Lover	2007-01-22	优酷开播:2010-12-09	台湾 / 新加坡	偶像 / 言情 / 时装	-	杜德伟 / 明道 / 蒋怡 / 金沛晟 / 白歆惠	4,575,628	http://www.youku.com/show_page/id_zcbfd39b2962411de83b1.html	40集全
庭外和解	JUSTICE IN THE CITY	2012-10-15	优酷开播:2012-10-16	新加坡	警匪 / 悬疑	-	陈泓宇 / 童冰玉 / 傅志坚 / 金沛晟 / 林奕廷	4,151,803	http://www.youku.com/show_page/id_z5dc641b4048a11e2b2ac.html	30集全
活佛济公	The Legend of Jigong/降龙罗汉	优酷开播:2014-10-31	-	新加坡	剧情 / 神话 / 古装	-	谢韶光 / 姚玟隆 / 郭淑贤 / 邹联福 / 邓淑芳	4,048,242	http://www.youku.com/show_page/id_z634e62c65f2a11e0a046.html	30集全
我来也	Heroes In Black/怪侠神偷	2001-05-04	-	新加坡	搞笑 / 古装	-	李南星 / 范文芳 / 欧阳震华 / 郑佩佩 / 洪乙心	3,748,689	http://www.youku.com/show_page/id_zcbfbfa70962411de83b1.html	20集全
星洲之夜	A Song to Remember	2011-11-22	优酷开播:2011-11-23	新加坡	剧情 / 历史	-	白薇秀 / 郭蕙雯 / 戚玉武 / 陈泂江 / 潘玲玲	3,597,546	http://www.youku.com/show_page/id_z20ba9138d8fa11e0a046.html	30集全
边缘父子	On The Fringe	2011-08-02	-	新加坡	剧情	-	李南星 / 范文芳 / 瑞恩 / 张耀栋 / 潘玲玲	3,371,190	http://www.youku.com/show_page/id_z07f5a9facedf11e0a046.html	20集全
我爱钟无艳	My Fair Lady/钟无艳	2005-03-23	优酷开播:2010-09-21	香港 / 新加坡	言情 / 古装	-	范文芳 / 罗嘉良 / 郑则仕 / 陈紫函 / 黄一山	3,352,633	http://www.youku.com/show_page/id_zcbfd433a962411de83b1.html	30集全
钻石情缘	An Enchanted Life	2009-08-03	-	新加坡	都市 / 言情	-	林湘萍 / 方展发 / 谢宛谕 / 陈澍承 / 金银姬	3,307,613	http://www.youku.com/show_page/id_zcbfd6d42962411de83b1.html	20集全
