使徒行者	Line Walker	2014-08-25	优酷开播:2014-08-25	香港	剧情 / 警匪 / 悬疑 / 时装	-	苗侨伟 / 佘诗曼 / 林峯 / 陈敏之 / 许绍雄	2,000,923,947	http://www.youku.com/show_page/id_zfceaf4bcd00611e3a705.html	31集全
冲上云霄Ⅱ	Triumph In The Skies II/冲上云霄2	2013-07-15	优酷开播:2013-07-16	香港	都市 / 言情 / 时装	-	吴镇宇 / 张智霖 / 胡杏儿 / 陈法拉 / 吴卓羲	882,908,896	http://www.youku.com/show_page/id_z9b812b2ca3a011e1b52a.html	43集全
飞虎 II	Tiger Cubs II/飞虎 2	2014-10-19	优酷开播:2014-10-19	香港	剧情 / 警匪 / 悬疑 / 都市 / 时装	-	马德钟 / 钟嘉欣 / 罗仲谦 / 梁烈唯 / 黄智雯	853,842,110	http://www.youku.com/show_page/id_z9f059ec2573b11e38b3f.html	20集全
叛逃	Ruse Of Engagement/ATF反恐	2014-03-17	优酷开播:2014-03-17	香港	剧情 / 警匪 / 都市 / 时装	-	陈展鹏 / 吴卓羲 / 陈茵媺 / 蒙嘉慧 / 李司棋	724,418,196	http://www.youku.com/show_page/id_zd2492060ff7811df97c0.html	25集全
忠奸人	Black Heart White Soul	2014-07-14	优酷开播:2014-07-14	香港	剧情 / 悬疑 / 都市 / 言情 / 时装	-	郭晋安 / 田蕊妮 / 吴卓羲 / 商天娥 / 李子雄	673,741,141	http://www.youku.com/show_page/id_z5db2a3d4573b11e38b3f.html	30集全
神枪狙击	Sniper Standoff/神枪狙击2013	2013-09-09	优酷开播:2013-09-09	香港	剧情 / 警匪 / 言情 / 时装	-	张兆辉 / 谢天华 / 周海媚 / 徐子珊 / 岑丽香	643,591,840	http://www.youku.com/show_page/id_z5c7c6c1e428f11e2b356.html	25集全
名门暗战	Overachievers/商战	2014-11-03	优酷开播:2014-11-03	香港	剧情 / 都市 / 言情 / 时装	-	黎耀祥 / 黄浩然 / 曹永廉 / 岳华 / 关菊英	591,923,221	http://www.youku.com/show_page/id_z08ed2a32581f11e4abda.html	30集全
天龙八部	The Demi-Gods And Semi-Devils/天龙八部 97版	1997-07-28	优酷开播:2010-03-22	香港	剧情 / 武侠 / 言情 / 古装	-	黄日华 / 陈浩民 / 樊少皇 / 李若彤 / 张国强	503,112,346	http://www.youku.com/show_page/id_zcbfb7d48962411de83b1.html	45集全
寒山潜龙	Ghost Dragon of Cold Mountain	2014-06-30	优酷开播:2014-06-30	香港	剧情 / 武侠 / 搞笑 / 古装	-	马国明 / 敖嘉年 / 陈国邦 / 李诗韵 / 林夏薇	484,693,634	http://www.youku.com/show_page/id_zd06eee78434111e296ac.html	30集全
点金胜手	The Ultimate Addiction	2014-06-02	优酷开播:2014-06-03	香港	剧情 / 都市 / 时装	-	黄宗泽 / 徐子珊 / 黄智贤 / 江美仪 / 胡定欣	466,465,769	http://www.youku.com/show_page/id_z428adf4cda7911e38b3f.html	更新至16
八卦神探	Officer Geomancer/牛头爱搭马嘴	2014-12-16	优酷开播:2014-12-17	香港	剧情 / 警匪 / 搞笑 / 言情 / 时装	-	李思捷 / 万绮雯 / 梁烈唯 / 朱晨丽 / 杨诗敏	449,819,190	http://www.youku.com/show_page/id_z5c2223b82e5a11e4abda.html	20集全
潜行狙击	Lives Of Omission	2011-08-01	优酷开播:2011-08-01	香港	警匪 / 偶像 / 言情 / 时装	-	谢天华 / 黄宗泽 / 刘松仁 / 陈法拉 / 徐子珊	442,189,386	http://www.youku.com/show_page/id_z89c17684ba7c11e0a046.html	30集全
法证先锋Ⅲ	Forensic Heros III/法证先锋3	2011-10-10	优酷开播:2011-10-10	香港	警匪 / 都市 / 言情 / 时装	-	黎耀祥 / 张可颐 / 胡定欣 / 徐子珊 / 吴卓羲	426,669,225	http://www.youku.com/show_page/id_z7a42b8b2ff8311df97c0.html	30集全
神雕侠侣	Return Of The Condor Heroes/神雕侠侣 95版	1995-07-31	优酷开播:2010-03-22	香港	武侠 / 言情 / 古装	-	古天乐 / 李若彤 / 白彪 / 魏秋桦 / 傅明宪	418,083,859	http://www.youku.com/show_page/id_zcbfb7e6a962411de83b1.html	32集全
法外风云	Will Power/传爱事务所	2013-10-14	优酷开播:2013-10-14	香港	剧情 / 悬疑	-	陈豪 / 黎耀祥 / 陈法拉 / 伍咏薇 / 陈智燊	396,716,204	http://www.youku.com/show_page/id_zaa40b32c429611e2b16f.html	32集全
法证先锋II	Frensic Heroes II/法证先锋 第二部	2008-05-19	优酷开播:2010-03-22	香港	剧情 / 警匪 / 都市 / 言情 / 时装	-	欧阳震华 / 林文龙 / 郑嘉颖 / 蒙嘉慧 / 佘诗曼	383,022,832	http://www.youku.com/show_page/id_zcbfcd9b8962411de83b1.html	30集全
鹿鼎记	The Duke Of The Mount Beer/鹿鼎记 98版	1998-06-01	优酷开播:2010-03-22	香港	武侠 / 搞笑 / 言情 / 古装	-	陈小春 / 马浚伟 / 陈少霞 / 梁小冰 / 刘玉翠	374,593,077	http://www.youku.com/show_page/id_zcbfb80fe962411de83b1.html	45集全
我和僵尸有个约会 第一部	My Date With A Vampire 1/超能探长 1	1998-04-05	优酷开播:2011-03-19	香港	悬疑 / 言情	-	杨恭如 / 万绮雯 / 尹天照 / 陈启泰 / 张文慈	373,364,174	http://www.youku.com/show_page/id_zcbfd3d90962411de83b1.html	35集全
食为奴	Gilded Chopsticks	2014-02-10	优酷开播:2014-02-10	香港	搞笑 / 古装	-	王祖蓝 / 黄智贤 / 万绮雯 / 胡定欣 / 何雁诗	373,347,401	http://www.youku.com/show_page/id_ze56eba42435a11e2a19e.html	25集全
女人俱乐部	M Club/舞室保卫战	2014-04-21	优酷开播:2014-04-21	香港	都市 / 搞笑 / 言情 / 时装	-	李若彤 / 李丽珍 / 叶蕴仪 / 陈慧珊 / 袁洁莹	365,741,160	http://www.youku.com/show_page/id_za97fbd3e573f11e3b8b7.html	32集全
再战明天	Tomorrow Is Another Day/我心至强	2014-10-06	优酷开播:2014-10-06	香港	剧情 / 警匪 / 都市 / 言情 / 时装	-	吴启华 / 徐子珊 / 王浩信 / 黄德斌 / 何超仪	353,862,567	http://www.youku.com/show_page/id_z59a8724c486b11e4abda.html	20集全
法网狙击	Friendly Fire/燃情阻击	2012-12-18	-	香港	剧情 / 警匪 / 时装	-	谢天华 / 杨怡 / 森美 / 陈敏之 / 阮兆祥	345,766,522	http://www.youku.com/show_page/id_z6283e0ea27c011e2b16f.html	26集全
雷霆扫毒	Highs And Lows	2012-09-24	优酷开播:2012-09-25	香港	剧情 / 警匪 / 悬疑 / 都市	-	林峯 / 苗侨伟 / 徐子珊 / 官恩娜 / 吴绮莉	328,135,086	http://www.youku.com/show_page/id_z1d8c3418a3a111e1b52a.html	30集全
好心作怪	A Change Of Heart/一切从心开始	2013-06-04	优酷开播:2013-06-04	香港	剧情 / 悬疑 / 时装	-	苗侨伟 / 黄宗泽 / 周丽淇 / 万绮雯 / 黄智雯	324,779,297	http://www.youku.com/show_page/id_z95dd9e68434511e2b356.html	30集全
寻秦记	A Step into the Past	2001-10-15	优酷开播:2010-03-22	香港	神话 / 言情 / 古装	-	古天乐 / 江华 / 林峯 / 宣萱 / 郭羡妮	317,994,312	http://www.youku.com/show_page/id_zcbfb7c9e962411de83b1.html	40集全
On Call 36小时 Ⅱ	The Hippocratic Crush 2/On Call 36小时 2	2013-11-04	优酷开播:2013-11-04	香港	剧情 / 言情 / 时装	-	吴启华 / 马国明 / 杨怡 / 黄智雯 / 朱千雪	309,871,311	http://www.youku.com/show_page/id_z6c9e24d2435e11e2b16f.html	30集全
大药坊	All That is Bitter is Sweet	2014-09-08	优酷开播:2014-09-08	香港	剧情 / 言情	-	钟嘉欣 / 陈展鹏 / 黄浩然 / 唐诗咏 / 敖嘉年	308,226,815	http://www.youku.com/show_page/id_zbc9e349c670011e3b8b7.html	30集全
